Variable,Nationality,Position,GP_17,MP_17,YC_17,RC_17,Goals17,Assists17,Shots17,Shots_On_Target17,Offsides17,Touches17,Passes17,Crosses17,Blocks17,Interceptions17,Tackles17,Clearances17,Jostles_Won17,Jostles_Lost17,Fouls17,Clean_Sheets17,Goals_Allowed17,Saves17,Punches17,High_Claims17,Goal_Kicks17,GP_16,MP_16,YC_16,RC_16,Goals16,Assists16,Shots16,Shots_On_Target16,Offsides16,Touches16,Passes16,Crosses16,Blocks16,Interceptions16,Tackles16,Clearances16,Jostles_Won16,Jostles_Lost16,Fouls16,Clean_Sheets16,Goals_Allowed16,Saves16,Punches16,High_Claims16,Goal_Kicks16,All_GP,All_MP,All_YC,All_RC,AllGoals,AllAssists,AllShots,AllShots_On_Target,AllOffsides,AllTouches,AllPasses,AllCrosses,AllBlocks,AllInterceptions,AllTackles,AllClearances,AllJostles_Won,AllJostles_Lost,AllFouls,AllClean_Sheets,AllGoals_Allowed,AllSaves,AllPunches,AllHigh_Claims,AllGoal_Kicks
Eric Dier, England,M,34,2827,4,0,0,2,32,7,1,2644,2248,26,11,48,61,82,83,62,23,0,0,0,0,0,0,36,3044,6,0,2,0,23,7,3,2402,1981,20,17,35,48,149,73,55,24,0,0,0,0,0,0,70,5871,10,0,2,2,55,14,4,5046,4229,46,28,83,109,231,156,117,47,0,0,0,0,0,0
Erik Lamela, Argentina,M,25,832,4,0,2,2,20,6,3,655,446,25,1,7,23,4,6,14,24,0,0,0,0,0,0,9,592,1,0,1,1,18,7,1,475,305,26,0,5,13,1,3,6,13,0,0,0,0,0,0,34,1424,5,0,3,3,38,13,4,1130,751,51,1,12,36,5,9,20,37,0,0,0,0,0,0
Erik Pieters, Netherlands,D,31,2720,5,0,0,1,3,1,2,1779,1000,64,25,61,71,106,53,46,58,0,0,0,0,0,0,36,3151,4,0,0,1,9,0,1,2338,1331,109,20,54,106,110,54,39,60,0,0,0,0,0,0,67,5871,9,0,0,2,12,1,3,4117,2331,173,45,115,177,216,107,85,118,0,0,0,0,0,0
Etienne Capoue, France,M,23,1541,3,0,1,0,23,3,1,1141,875,4,1,43,43,35,42,23,21,0,0,0,0,0,0,37,3212,5,0,7,1,50,19,1,2056,1483,78,7,59,61,25,33,35,51,0,0,0,0,0,0,60,4753,8,0,8,1,73,22,2,3197,2358,82,8,102,104,60,75,58,72,0,0,0,0,0,0
Fabian Delph, England,M,22,1746,2,0,1,2,10,3,0,2043,1614,13,0,30,46,35,21,31,15,0,0,0,0,0,0,7,220,1,0,1,0,6,2,0,270,225,1,1,7,7,4,4,3,6,0,0,0,0,0,0,29,1966,3,0,2,2,16,5,0,2313,1839,14,1,37,53,39,25,34,21,0,0,0,0,0,0
Federico Fernandez, Argentina,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2430,7,0,0,2,15,2,0,1523,1133,5,20,50,44,187,69,36,26,0,0,0,0,0,0,27,2430,7,0,0,2,15,2,0,1523,1133,5,20,50,44,187,69,36,26,0,0,0,0,0,0
Fernandinho, Brazil,M,34,2885,7,0,5,3,47,19,0,3410,2975,9,6,47,62,65,94,76,41,0,0,0,0,0,0,32,2754,4,2,2,1,36,11,1,2732,2180,23,5,65,82,60,52,52,48,0,0,0,0,0,0,66,5639,11,2,7,4,83,30,1,6142,5155,32,11,112,144,125,146,128,89,0,0,0,0,0,0
Fernando Llorente, Spain,F,16,225,1,0,1,0,6,2,2,130,88,0,0,0,6,6,15,17,4,0,0,0,0,0,0,33,2453,2,0,15,1,52,26,12,1253,900,8,4,2,18,36,156,125,51,0,0,0,0,0,0,49,2678,3,0,16,1,58,28,14,1383,988,8,4,2,24,42,171,142,55,0,0,0,0,0,0
Francis Coquelin, France,M,7,156,0,0,0,0,1,0,0,114,96,0,0,3,5,2,2,2,2,0,0,0,0,0,0,29,1785,5,0,0,0,14,3,0,1535,1180,4,8,52,71,32,36,17,33,0,0,0,0,0,0,36,1941,5,0,0,0,15,3,0,1649,1276,4,8,55,76,34,38,19,35,0,0,0,0,0,0
Fraser Forster, England,GK,20,1800,0,0,0,0,0,0,0,605,444,0,0,0,0,9,1,0,0,4,30,68,2,10,146,38,3420,3,0,0,0,0,0,0,1101,859,0,0,0,0,18,4,1,0,14,48,76,12,26,311,58,5220,3,0,0,0,0,0,0,1706,1303,0,0,0,0,27,5,1,0,18,78,144,14,36,457
